Date,Open,High,Low,Close,Volume
17-Aug-21,106.64,108.7,105.35,107.56,"74,053,905"
18-Aug-21,107.35,108.07,103.27,103.44,"79,387,943"
19-Aug-21,103.32,106.18,101.98,103.7,"71,117,494"
20-Aug-21,104.32,105.98,103.99,104.65,"55,227,562"
23-Aug-21,105.3,109.02,104.86,108.77,"68,835,281"
24-Aug-21,109.45,109.61,107.28,107.65,"51,239,297"
25-Aug-21,108.13,109.91,107.45,108.3,"45,485,504"
26-Aug-21,108.57,109.23,106.84,107.27,"51,442,548"
27-Aug-21,108.01,111.78,107.8,111.4,"61,030,014"
30-Aug-21,112.61,114.49,111.26,111.32,"56,130,467"
31-Aug-21,111.26,111.26,109.03,110.72,"49,338,955"
01-Sep-21,111.3,111.85,109.85,109.99,"38,579,559"
02-Sep-21,110.32,110.88,108.77,109.2,"40,108,763"
03-Sep-21,108.85,111.17,108.5,109.92,"42,623,780"
07-Sep-21,109.96,110.58,108.66,109.15,"28,815,232"
08-Sep-21,108.88,109.3,105.52,106.17,"43,067,911"
09-Sep-21,106.56,107.3,105.84,106.15,"31,857,873"
10-Sep-21,106.99,106.99,104.98,105.2,"32,602,293"
13-Sep-21,105.26,105.28,102.63,104.8,"37,767,787"
14-Sep-21,105.52,106.82,104.42,105.73,"40,629,527"
15-Sep-21,106,106.32,104.03,105.6,"37,998,941"
16-Sep-21,104.92,106.75,103.76,106.22,"38,150,269"
17-Sep-21,105.56,105.98,103.71,103.88,"44,528,337"
20-Sep-21,101.58,102.51,99.51,101.55,"45,228,411"
21-Sep-21,102.15,103.43,101.18,102.82,"35,481,501"
22-Sep-21,102.82,104.56,102.21,104.38,"34,126,280"
23-Sep-21,104.89,106.86,103.89,106.15,"32,816,657"
24-Sep-21,105.19,106.05,104.68,105.8,"26,482,610"
27-Sep-21,105.07,108.44,103.44,108.16,"51,944,349"
28-Sep-21,106.84,107.65,101.42,101.52,"74,468,968"
29-Sep-21,102.3,102.66,99.81,100.35,"52,224,721"
30-Sep-21,102.08,104.44,101.99,102.9,"57,636,700"
01-Oct-21,102.6,103,100.64,102.45,"41,491,585"
04-Oct-21,101.74,101.85,99.82,100.34,"41,967,149"
05-Oct-21,100.92,102.87,100.61,101.81,"31,455,249"
06-Oct-21,100.45,103.72,100.35,103.64,"39,071,703"
07-Oct-21,104.6,107.95,104.46,106.45,"41,543,109"
08-Oct-21,106.55,107.28,104.89,105.06,"30,623,047"
11-Oct-21,104.62,107.2,104.02,104.68,"31,284,389"
12-Oct-21,105.17,106.04,104.34,105.04,"34,039,906"
13-Oct-21,106.28,109.88,106.25,109.16,"55,631,917"
14-Oct-21,110.5,112.22,109.63,111.99,"46,900,157"
15-Oct-21,112.51,112.84,111.11,112.12,"34,203,008"
18-Oct-21,111.9,116.88,111.37,116.43,"47,537,763"
19-Oct-21,116.16,117.17,114.47,116.33,"39,593,938"
20-Oct-21,116.29,118.3,115.42,116.39,"34,244,811"
21-Oct-21,116.5,119.68,116.26,119.33,"34,794,945"
22-Oct-21,120.83,121.56,118.37,119.82,"38,992,694"
25-Oct-21,120.52,123.46,118.6,122.36,"47,834,118"
26-Oct-21,122.99,127.2,122.58,122.93,"59,458,928"
27-Oct-21,121.63,128.08,121.05,122.28,"98,245,324"
28-Oct-21,122.86,123.5,120.26,121.16,"58,002,459"
29-Oct-21,120.95,122.57,119.88,120.23,"43,320,125"
01-Nov-21,119.45,125.67,118.13,125.23,"54,559,780"
02-Nov-21,124.98,128.46,124.2,127.63,"53,491,937"
03-Nov-21,127.75,130.6,126.79,130.53,"59,537,815"
04-Nov-21,132.01,139,130.77,137.5,"84,825,156"
05-Nov-21,139.19,141.22,134.42,136.34,"64,920,597"
08-Nov-21,137.7,153.6,137.7,150.16,"141,493,842"
09-Nov-21,154.01,155.65,143.89,148.92,"98,442,597"
10-Nov-21,143.93,146.3,138.52,139.87,"82,989,151"
11-Nov-21,142.96,146.47,140.84,146.01,"67,934,845"
12-Nov-21,146.03,148.59,144.25,147.89,"52,162,136"
15-Nov-21,148,148.98,142.86,146.49,"52,271,271"
16-Nov-21,145.93,153.08,145.34,152.45,"53,100,810"
17-Nov-21,151.98,154.66,149.69,151.34,"54,527,482"
18-Nov-21,157.07,158.89,152.56,155.02,"60,612,733"
19-Nov-21,155.76,156.92,153.45,155.41,"41,668,862"
22-Nov-21,157.14,161.88,152.39,152.52,"58,674,078"
23-Nov-21,150.41,152.66,145.3,149.92,"62,852,705"
24-Nov-21,149.46,157.93,147.19,157.8,"60,677,062"
26-Nov-21,155.8,158.1,152.81,154.81,"36,245,068"
29-Nov-21,157.5,162.51,156.1,161.91,"57,438,867"
30-Nov-21,163.28,164.46,155.68,158.37,"75,182,545"
01-Dec-21,160.37,160.88,148.92,149.11,"64,185,119"
02-Dec-21,147.68,152.53,146.47,150.68,"56,161,216"
