Date,Open,High,Low,Close,Volume
08-Mar-19,21.35,22.09,21.04,22.01,"49,967,725"
11-Mar-19,22.15,23.08,21.98,22.96,"54,420,188"
12-Mar-19,23.1,23.8,22.78,23.49,"56,410,616"
13-Mar-19,23.66,24.15,23.35,23.38,"56,705,777"
14-Mar-19,23.37,23.49,22.8,22.82,"42,818,582"
15-Mar-19,23.1,23.65,23.01,23.29,"46,519,912"
18-Mar-19,23.3,23.62,23.04,23.25,"34,731,839"
19-Mar-19,23.6,26.08,23.59,26,"156,052,222"
20-Mar-19,26.49,26.88,25.31,25.7,"151,292,138"
21-Mar-19,25.78,28.11,25.71,27.89,"129,610,272"
22-Mar-19,27.54,27.75,26.33,26.37,"115,323,257"
25-Mar-19,26.29,26.99,25.54,25.97,"78,438,159"
26-Mar-19,26.69,26.98,25.46,25.69,"75,754,079"
27-Mar-19,25.7,25.88,24.55,24.89,"88,585,265"
28-Mar-19,25.1,25.56,24.65,25.06,"64,667,453"
29-Mar-19,25.58,25.73,25.25,25.52,"53,502,807"
01-Apr-19,26.42,26.56,25.83,26.36,"63,000,322"
02-Apr-19,26.51,26.8,26.09,26.75,"53,358,772"
03-Apr-19,28.02,29.95,27.88,29.02,"197,650,478"
04-Apr-19,28.88,29.39,28.61,29.09,"82,191,092"
05-Apr-19,29.64,29.69,28.8,28.98,"65,662,738"
08-Apr-19,28.69,28.95,28.18,28.53,"58,002,493"
09-Apr-19,28.24,28.38,27.19,27.24,"75,539,793"
10-Apr-19,27.46,28.12,27.32,27.83,"64,368,144"
11-Apr-19,27.81,28.05,27.46,27.79,"44,801,179"
12-Apr-19,28.21,28.38,27.66,27.85,"41,048,838"
15-Apr-19,27.8,27.84,26.96,27.33,"40,812,497"
16-Apr-19,27.72,28.18,27.49,27.93,"47,340,055"
17-Apr-19,28.21,28.27,27.22,27.49,"48,240,768"
18-Apr-19,27.6,27.88,27.34,27.68,"39,880,890"
22-Apr-19,27.62,28.23,27.39,28.18,"36,477,286"
23-Apr-19,28.18,28.49,27.79,27.97,"41,777,470"
24-Apr-19,28.1,28.85,27.93,28.46,"51,784,738"
25-Apr-19,28.67,28.86,27.36,27.66,"57,329,711"
26-Apr-19,27.66,27.9,27.05,27.88,"48,827,903"
29-Apr-19,27.9,28.14,27.5,27.69,"44,532,725"
30-Apr-19,27.59,27.8,26.94,27.63,"73,165,869"
01-May-19,28.95,29.15,26.78,26.81,"136,066,941"
02-May-19,26.94,28.64,26.61,28.29,"100,514,792"
03-May-19,28.3,28.42,27.66,28.22,"55,503,062"
06-May-19,26.72,27.5,26.45,27.42,"70,344,092"
07-May-19,27.2,27.35,26.21,26.66,"75,868,821"
08-May-19,26.41,27.71,26.27,27.09,"65,967,544"
09-May-19,26.7,27.38,26.03,27.21,"73,150,883"
10-May-19,27.03,28.1,26.93,27.96,"82,930,144"
13-May-19,26.98,27.23,26.1,26.24,"99,017,893"
14-May-19,26.53,27.48,26.15,27.32,"82,980,397"
15-May-19,26.87,27.79,26.73,27.58,"55,689,874"
16-May-19,27.37,28.37,27.27,28.01,"67,330,064"
17-May-19,27.69,28.46,27.4,27.5,"65,385,351"
20-May-19,26.98,27.24,26.49,26.68,"69,757,402"
21-May-19,27.18,27.37,26.93,27.35,"46,079,177"
22-May-19,27.12,27.59,27.07,27.41,"40,035,288"
23-May-19,26.99,27.1,26.03,26.36,"67,809,153"
24-May-19,26.61,26.93,26.4,26.44,"39,835,788"
28-May-19,27.27,29.67,27.06,29.03,"146,949,629"
29-May-19,29,29.32,27.73,28.09,"99,969,597"
30-May-19,28.4,28.56,27.6,28.03,"65,289,093"
31-May-19,27.57,28.36,27.4,27.41,"68,667,809"
03-Jun-19,28.75,29.62,27.29,27.58,"147,532,180"
04-Jun-19,28.39,29.59,27.91,29.57,"107,549,523"
05-Jun-19,29.93,29.99,29.03,29.5,"79,481,540"
06-Jun-19,29.87,31.98,29.84,31.82,"131,267,796"
07-Jun-19,31.94,32.6,31.57,32.41,"86,841,098"
10-Jun-19,33.53,34.3,33.08,33.23,"97,668,791"
11-Jun-19,33.43,33.49,31.82,32.41,"82,834,914"
12-Jun-19,32,32.57,31.92,32.18,"56,298,671"
13-Jun-19,32.39,32.5,31.06,31.39,"63,555,986"
14-Jun-19,30.7,30.96,30.02,30.36,"70,373,015"
17-Jun-19,30.25,30.45,29.18,29.2,"70,865,743"
18-Jun-19,29.76,30.97,29.58,30.45,"86,444,542"
19-Jun-19,30.67,30.79,30.06,30.5,"63,233,939"
20-Jun-19,31.24,31.36,29.84,30.01,"72,418,162"
21-Jun-19,29.65,30.35,28.97,29.1,"81,861,322"
24-Jun-19,29.32,29.4,28.67,29.26,"55,724,826"
25-Jun-19,29.26,29.72,28.8,28.86,"53,680,887"
26-Jun-19,29.98,30.48,29.78,29.92,"65,064,199"
27-Jun-19,30.41,30.96,30.21,30.74,"55,623,309"
28-Jun-19,31.08,31.11,30.33,30.37,"50,090,925"
01-Jul-19,31.79,32.04,30.87,31.2,"60,525,532"
02-Jul-19,30.96,31.26,30.73,31.24,"37,721,679"
03-Jul-19,31.13,31.33,30.74,31.19,"23,462,004"
05-Jul-19,30.88,31.56,30.75,31.5,"34,011,867"
08-Jul-19,31.8,32.15,31.26,32.04,"49,689,399"
09-Jul-19,31.76,33.18,31.71,33.15,"61,419,773"
10-Jul-19,33.56,34.03,33.36,33.79,"60,388,439"
11-Jul-19,33.91,34,32.76,33.06,"63,081,800"
12-Jul-19,32.76,33.39,32.59,33.21,"51,509,682"
15-Jul-19,33.34,34.55,33.27,34.39,"65,565,248"
16-Jul-19,34.3,34.86,33.8,33.85,"66,912,699"
17-Jul-19,34.01,34.3,33.49,33.6,"42,557,903"
18-Jul-19,33.03,33.46,32.42,33,"58,610,857"
19-Jul-19,33.08,33.35,32.45,32.51,"44,617,702"
22-Jul-19,32.8,33.31,32.74,32.85,"37,777,312"
23-Jul-19,33.17,33.5,32.93,33.49,"38,532,460"
24-Jul-19,33.64,34.36,33.45,34.11,"41,952,256"
25-Jul-19,34.05,34.25,33.62,33.67,"36,705,616"
26-Jul-19,34.23,34.77,33.87,34.02,"43,502,776"
29-Jul-19,34.14,34.18,32.98,33.48,"45,921,978"
30-Jul-19,33.21,33.94,32.94,33.87,"72,198,880"
31-Jul-19,32.08,32.3,30.3,30.45,"119,190,001"
01-Aug-19,30.5,31.48,29.1,29.86,"80,878,890"
02-Aug-19,29.48,29.73,28.94,29.44,"60,410,852"
05-Aug-19,28.26,28.49,27.65,27.99,"74,333,240"
06-Aug-19,28.86,29.05,28.2,28.86,"60,578,444"
07-Aug-19,28.47,29.28,28.37,29.19,"58,577,543"
08-Aug-19,31.53,34.27,31.48,33.92,"167,278,810"
09-Aug-19,33.45,35.55,33.08,34.19,"132,483,947"
12-Aug-19,34.16,34.65,32.08,32.43,"106,936,040"
13-Aug-19,32.36,33.14,31.72,32.11,"102,579,321"
14-Aug-19,31,31.05,29.51,30.24,"127,521,456"
15-Aug-19,30.63,30.73,29.21,29.67,"72,606,817"
16-Aug-19,30.31,31.48,30.21,31.18,"71,588,978"
19-Aug-19,32,32.19,31.42,31.48,"67,781,613"
20-Aug-19,30.94,31.31,30.45,30.72,"48,016,381"
21-Aug-19,31.05,31.74,30.84,31.7,"41,635,046"
22-Aug-19,31.76,31.92,30.98,31.9,"47,742,174"
23-Aug-19,31.3,31.83,29.4,29.54,"83,931,683"
26-Aug-19,30.34,30.72,29.94,30.28,"50,858,859"
27-Aug-19,30.6,30.89,29.6,30.2,"53,351,711"
28-Aug-19,29.92,31.18,29.7,30.78,"55,896,445"
29-Aug-19,31.47,31.83,31.33,31.45,"44,485,479"
30-Aug-19,31.6,31.87,31.13,31.45,"40,347,321"
03-Sep-19,30.83,31.14,30.68,30.9,"38,080,254"
04-Sep-19,31.32,31.83,30.85,30.95,"46,709,780"
05-Sep-19,31.79,32.05,31.12,31.5,"57,932,080"
06-Sep-19,31.5,31.51,30.48,30.56,"51,672,982"
09-Sep-19,30.93,31.18,30.24,30.5,"54,413,163"
10-Sep-19,30.22,30.38,29.77,30.23,"48,604,766"
11-Sep-19,30.38,30.43,29.51,29.76,"50,631,683"
12-Sep-19,30.08,30.84,29.95,30.21,"53,618,344"
13-Sep-19,30.27,30.85,29.95,30.69,"47,758,753"
16-Sep-19,30.37,31.15,30.26,30.83,"52,248,540"
17-Sep-19,31.07,31.32,30.74,30.99,"35,125,750"
18-Sep-19,30.75,30.89,29.88,30.42,"47,277,309"
19-Sep-19,30.57,30.96,30.14,30.29,"41,930,831"
20-Sep-19,30.36,30.47,29.65,30.05,"83,555,555"
23-Sep-19,30.12,30.8,30.07,30.64,"45,185,837"
24-Sep-19,30.54,30.75,29.29,29.52,"73,220,942"
25-Sep-19,29.48,29.65,28.55,29.54,"58,691,579"
26-Sep-19,29.67,29.77,29,29.47,"41,182,228"
27-Sep-19,29.17,29.77,28.35,28.72,"54,144,672"
30-Sep-19,28.89,29.05,28.36,28.99,"40,332,052"
01-Oct-19,29.05,29.54,28.64,28.76,"37,366,072"
02-Oct-19,28.5,28.85,28.03,28.31,"44,048,752"
03-Oct-19,28.28,28.78,27.43,28.68,"56,905,408"
04-Oct-19,28.83,29.06,28.57,29.01,"34,609,211"
07-Oct-19,28.9,29.63,28.84,28.93,"39,745,268"
08-Oct-19,28.55,28.64,27.92,28.23,"44,432,078"
09-Oct-19,28.8,28.95,28.35,28.46,"36,321,583"
10-Oct-19,28.52,28.89,28,28.38,"41,171,995"
11-Oct-19,28.83,30.2,28.81,29.75,"66,632,445"
14-Oct-19,29.71,30.61,29.38,30.53,"44,818,233"
15-Oct-19,30.7,30.92,30.17,30.72,"42,142,385"
16-Oct-19,30.6,31.41,30.53,30.81,"43,064,255"
17-Oct-19,31.3,31.4,30.86,31.14,"37,010,205"
18-Oct-19,31.06,31.33,30.29,30.97,"39,711,244"
21-Oct-19,31.5,32.26,31.41,32.03,"52,648,067"
22-Oct-19,32.06,32.15,31.5,31.51,"36,860,307"
23-Oct-19,31.09,31.65,30.83,31.36,"26,858,110"
24-Oct-19,31.58,31.86,31.34,31.72,"28,448,977"
25-Oct-19,31.9,32.86,31.83,32.71,"45,368,837"
28-Oct-19,33.16,33.91,33.15,33.69,"51,223,609"
29-Oct-19,33.73,33.9,32.7,33.03,"78,700,076"
30-Oct-19,32.93,33.34,32.03,33.13,"78,228,769"
31-Oct-19,32.98,34.34,32.82,33.93,"67,881,623"
01-Nov-19,34.37,35,34.1,34.89,"64,238,609"
04-Nov-19,35.19,36.45,34.76,36.29,"83,343,783"
05-Nov-19,36.56,37.18,35.98,36.15,"84,848,638"
06-Nov-19,36.06,36.48,35.52,35.93,"51,675,119"
07-Nov-19,36.52,36.99,36.03,36.28,"54,350,178"
08-Nov-19,36.06,36.58,36,36.29,"39,396,230"
11-Nov-19,35.96,36.66,35.58,36.31,"43,572,264"
12-Nov-19,36.43,37.13,36.4,36.71,"58,664,523"
13-Nov-19,36.65,37.96,36.58,37.52,"69,178,093"
14-Nov-19,37.51,38.5,37.36,38.35,"65,936,947"
15-Nov-19,38.94,39.37,38.34,38.56,"63,020,866"
18-Nov-19,38.65,39.99,38.6,39.88,"66,332,767"
19-Nov-19,40.14,41.79,39.69,41.29,"94,600,235"
20-Nov-19,40.96,41.75,40.07,40.98,"79,968,318"
21-Nov-19,40.42,40.71,38.64,39.52,"88,069,355"
22-Nov-19,39.36,39.89,38.19,39.15,"56,931,883"
25-Nov-19,39.5,40.17,39.49,39.79,"45,879,404"
26-Nov-19,39.3,39.48,38.81,38.99,"43,764,146"
27-Nov-19,39.46,39.76,39.07,39.41,"33,733,792"
29-Nov-19,39.1,39.52,39.02,39.15,"17,609,932"
02-Dec-19,39.32,39.41,38.44,38.73,"37,942,678"
03-Dec-19,37.34,38.93,37.15,38.9,"52,991,201"
04-Dec-19,39.38,39.82,39.13,39.69,"44,372,195"
05-Dec-19,39.95,40.22,39.55,39.62,"35,710,943"
06-Dec-19,40.1,40.19,39.56,39.63,"31,150,377"
09-Dec-19,39.46,39.84,38.91,38.93,"28,035,391"
10-Dec-19,39.2,39.73,38.82,39.44,"33,863,025"
11-Dec-19,39.44,39.61,39.04,39.47,"31,794,689"
12-Dec-19,39.4,42.62,39.25,42.59,"87,398,169"
13-Dec-19,42.35,42.95,41.06,41.15,"79,985,411"
16-Dec-19,41.73,42.98,41.73,42.35,"58,890,776"
17-Dec-19,42.51,43.11,42.15,42.77,"44,935,574"
18-Dec-19,42.79,43.06,42.24,42.3,"39,182,983"
19-Dec-19,42.63,43.34,42.6,42.83,"45,950,709"
20-Dec-19,43.44,44.26,43.26,44.15,"68,216,726"
23-Dec-19,44.58,45.63,44.39,45.46,"56,065,288"
24-Dec-19,46.1,46.61,45.77,46.54,"44,432,192"
26-Dec-19,46.99,47.31,45.66,46.63,"57,712,693"
27-Dec-19,46.85,46.88,45.98,46.18,"36,624,234"
30-Dec-19,46.14,46.17,44.66,45.52,"41,235,735"
31-Dec-19,45.07,46.09,44.92,45.86,"31,791,204"
02-Jan-20,46.86,49.25,46.63,49.1,"80,764,599"
03-Jan-20,48.03,49.39,47.54,48.6,"73,362,157"
06-Jan-20,48.02,48.86,47.86,48.39,"48,176,286"
07-Jan-20,49.35,49.39,48.04,48.25,"59,935,556"
08-Jan-20,47.85,48.3,47.14,47.83,"53,868,957"
09-Jan-20,48.94,49.96,48.39,48.97,"76,649,637"
